Task, Trainer, Model, Equivalent Evaluation, Model Prov Diff, Dataset Name, Datasource
Regression,class org.tribuo.regression.slm.ElasticNetCDTrainer,org.tribuo.regression.slm.SparseLinearModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:30.583101852Z"",
          ""reproduced"" : ""2021-10-07T22:46:35.121066736Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:35.118980443Z"",
    ""reproduced"" : ""2021-10-07T22:46:35.142993937Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.rtree.CARTRegressionTrainer,org.tribuo.common.tree.TreeModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:30.583101852Z"",
          ""reproduced"" : ""2021-10-07T22:46:35.171601017Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:35.169402174Z"",
    ""reproduced"" : ""2021-10-07T22:46:35.195921668Z""
  }
}",Wine Quality,CSV
Regression,class org.tribuo.regression.rtree.CARTRegressionTrainer,org.tribuo.common.tree.TreeModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:30.583101852Z"",
          ""reproduced"" : ""2021-10-07T22:46:35.219864543Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:35.217799806Z"",
    ""reproduced"" : ""2021-10-07T22:46:35.248811336Z""
  }
}",Wine Quality,CSV
Classification,class org.tribuo.classification.mnb.MultinomialNaiveBayesTrainer,org.tribuo.classification.mnb.MultinomialNaiveBayesModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:35.438114919Z"",
          ""reproduced"" : ""2021-10-07T22:46:35.694228718Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:35.688857620Z"",
    ""reproduced"" : ""2021-10-07T22:46:35.697585097Z""
  }
}",Irises,CSV
Classification,class org.tribuo.classification.libsvm.LibSVMClassificationTrainer,org.tribuo.common.libsvm.LibSVMModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:35.438114919Z"",
          ""reproduced"" : ""2021-10-07T22:46:35.756104300Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:35.752603265Z"",
    ""reproduced"" : ""2021-10-07T22:46:35.782168999Z""
  }
}",Irises,CSV
Classification,class org.tribuo.classification.ensemble.AdaBoostTrainer,org.tribuo.ensemble.WeightedEnsembleModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""datasource"" : {
        ""source"" : {
          ""datasource-creation-time"" : {
            ""original"" : ""2021-10-07T22:46:35.438114919Z"",
            ""reproduced"" : ""2021-10-07T22:46:35.809762425Z""
          }
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:35.804905173Z"",
    ""reproduced"" : ""2021-10-07T22:46:35.823425456Z""
  }
}",Irises,CSV
Classification,class org.tribuo.ensemble.BaggingTrainer,org.tribuo.ensemble.WeightedEnsembleModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:35.438114919Z"",
          ""reproduced"" : ""2021-10-07T22:46:35.850296145Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:35.845358562Z"",
    ""reproduced"" : ""2021-10-07T22:46:35.863654074Z""
  }
}",Irises,CSV
Classification,class org.tribuo.classification.sgd.fm.FMClassificationTrainer,org.tribuo.classification.sgd.fm.FMClassificationModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:35.438114919Z"",
          ""reproduced"" : ""2021-10-07T22:46:35.891855325Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:35.889612963Z"",
    ""reproduced"" : ""2021-10-07T22:46:35.907679427Z""
  }
}",Irises,CSV
Classification,class org.tribuo.classification.liblinear.LibLinearClassificationTrainer,org.tribuo.common.liblinear.LibLinearModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:35.438114919Z"",
          ""reproduced"" : ""2021-10-07T22:46:35.927698967Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:35.911750923Z"",
    ""reproduced"" : ""2021-10-07T22:46:35.929429788Z""
  }
}",Irises,CSV
Classification,class org.tribuo.classification.dtree.CARTClassificationTrainer,org.tribuo.common.tree.TreeModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:35.438114919Z"",
          ""reproduced"" : ""2021-10-07T22:46:35.942193070Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:35.940659654Z"",
    ""reproduced"" : ""2021-10-07T22:46:35.944349776Z""
  }
}",Irises,CSV
Classification,class org.tribuo.common.nearest.KNNTrainer,org.tribuo.common.nearest.KNNModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:35.438114919Z"",
          ""reproduced"" : ""2021-10-07T22:46:35.948233923Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:35.946763888Z"",
    ""reproduced"" : ""2021-10-07T22:46:35.949771827Z""
  }
}",Irises,CSV
Classification,class org.tribuo.classification.dtree.CARTClassificationTrainer,org.tribuo.common.tree.TreeModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:35.438114919Z"",
          ""reproduced"" : ""2021-10-07T22:46:35.957928099Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:35.956369138Z"",
    ""reproduced"" : ""2021-10-07T22:46:35.965036396Z""
  }
}",Irises,CSV
Classification,class org.tribuo.classification.sgd.linear.LinearSGDTrainer,org.tribuo.classification.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:35.438114919Z"",
          ""reproduced"" : ""2021-10-07T22:46:35.981768275Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:35.979853686Z"",
    ""reproduced"" : ""2021-10-07T22:46:35.994099942Z""
  }
}",Irises,CSV
Classification,class org.tribuo.common.tree.RandomForestTrainer,org.tribuo.ensemble.WeightedEnsembleModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:35.438114919Z"",
          ""reproduced"" : ""2021-10-07T22:46:36.005374256Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:36.002495391Z"",
    ""reproduced"" : ""2021-10-07T22:46:36.011441770Z""
  }
}",Irises,CSV
Classification,class org.tribuo.common.tree.ExtraTreesTrainer,org.tribuo.ensemble.WeightedEnsembleModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:35.438114919Z"",
          ""reproduced"" : ""2021-10-07T22:46:36.023115182Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:36.020324187Z"",
    ""reproduced"" : ""2021-10-07T22:46:36.029548236Z""
  }
}",Irises,CSV
Classification,class org.tribuo.classification.dtree.CARTClassificationTrainer,org.tribuo.common.tree.TreeModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:35.438114919Z"",
          ""reproduced"" : ""2021-10-07T22:46:36.035669178Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:36.034094947Z"",
    ""reproduced"" : ""2021-10-07T22:46:36.038047490Z""
  }
}",Irises,CSV
Classification,class org.tribuo.classification.xgboost.XGBoostClassificationTrainer,org.tribuo.common.xgboost.XGBoostModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:35.438114919Z"",
          ""reproduced"" : ""2021-10-07T22:46:36.061413622Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:36.059249802Z"",
    ""reproduced"" : ""2021-10-07T22:46:36.145929440Z""
  }
}",Irises,CSV
Classification,class org.tribuo.classification.sgd.kernel.KernelSVMTrainer,org.tribuo.classification.sgd.kernel.KernelSVMModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""source"" : {
        ""datasource-creation-time"" : {
          ""original"" : ""2021-10-07T22:46:35.438114919Z"",
          ""reproduced"" : ""2021-10-07T22:46:36.190348109Z""
        }
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-07T22:46:36.188806106Z"",
    ""reproduced"" : ""2021-10-07T22:46:36.223954094Z""
  }
}",Irises,CSV

