Task, Trainer, Model, Equivalent Evaluation, Model Prov Diff, Dataset Name, Datasource
Multilabel Classification,class org.tribuo.multilabel.sgd.fm.FMMultiLabelTrainer,org.tribuo.multilabel.sgd.fm.FMMultiLabelModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""datasource-creation-time"" : {
        ""original"" : ""2021-10-08T23:15:51.470038623Z"",
        ""reproduced"" : ""2021-10-08T23:15:53.500038754Z""
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:53.385306751Z"",
    ""reproduced"" : ""2021-10-08T23:15:54.615250040Z""
  }
}",Yeast,LibSVM
Multilabel Classification,class org.tribuo.multilabel.sgd.linear.LinearSGDTrainer,org.tribuo.multilabel.sgd.linear.LinearSGDModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""datasource-creation-time"" : {
        ""original"" : ""2021-10-08T23:15:51.470038623Z"",
        ""reproduced"" : ""2021-10-08T23:15:55.059263667Z""
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:15:54.972969593Z"",
    ""reproduced"" : ""2021-10-08T23:15:55.231027728Z""
  }
}",Yeast,LibSVM
Multilabel Classification,class org.tribuo.multilabel.ensemble.CCEnsembleTrainer,org.tribuo.ensemble.WeightedEnsembleModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""datasource-creation-time"" : {
        ""original"" : ""2021-10-08T23:15:51.470038623Z"",
        ""reproduced"" : ""2021-10-08T23:16:20.367628214Z""
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:16:20.303486188Z"",
    ""reproduced"" : ""2021-10-08T23:16:44.388635697Z""
  }
}",Yeast,LibSVM
Multilabel Classification,class org.tribuo.common.nearest.KNNTrainer,org.tribuo.common.nearest.KNNModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""datasource-creation-time"" : {
        ""original"" : ""2021-10-08T23:15:51.470038623Z"",
        ""reproduced"" : ""2021-10-08T23:16:46.980322202Z""
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:16:46.926940837Z"",
    ""reproduced"" : ""2021-10-08T23:16:47.005120593Z""
  }
}",Yeast,LibSVM
Multilabel Classification,class org.tribuo.multilabel.baseline.ClassifierChainTrainer,org.tribuo.multilabel.baseline.ClassifierChainModel,true,"{
  ""dataset"" : {
    ""datasource"" : {
      ""datasource-creation-time"" : {
        ""original"" : ""2021-10-08T23:15:51.470038623Z"",
        ""reproduced"" : ""2021-10-08T23:16:50.766410398Z""
      }
    }
  },
  ""trained-at"" : {
    ""original"" : ""2021-10-08T23:16:50.713241959Z"",
    ""reproduced"" : ""2021-10-08T23:16:53.174586786Z""
  }
}",Yeast,LibSVM

